Cilium compartment(s),Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,Subcellular location,Subcellular main location,Subcellular additional location,Reliability (IF),RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type specific nCPM,Protein cell type specificity
Primary cilium,HTR7,5-HT7,ENSG00000148680,5-hydroxytryptamine receptor 7,P34969,10,90740823-90858039,FDA approved drug targets; G-protein coupled receptors; Predicted membrane proteins; RAS pathway related proteins,,G-protein coupled receptor; Receptor; Transducer,FDA approved drug targets,Evidence at protein level,Nucleoplasm; Vesicles; Plasma membrane; Primary cilium,Nucleoplasm; Plasma membrane,Vesicles; Primary cilium,Supported,Group enriched,Detected in some,5,"{'parathyroid gland': '12.3', 'testis': '8.2'}",Cell type enhanced,"{'Brain excitatory neurons': '23.4', 'Brain inhibitory neurons': '19.7', 'cDC': '42.1', 'Hepatic stellate cells': '45.2', 'Hofbauer cells': '15.0', 'Late primary spermatocytes': '21.6', 'Macrophages': '30.1', 'monocytes': '16.0', 'Other brain neurons': '25.0', 'Undifferentiated spermatogonia': '25.7'}",Not detected
Basal body,IPMK,,ENSG00000151151,Inositol polyphosphate multikinase,Q8NFU5,10,58191517-58267894,Enzymes; Metabolic proteins; Predicted intracellular proteins,Lipid metabolism; Phospholipid metabolism,Kinase; Transferase,,Evidence at protein level,Nucleoplasm; Basal body,Nucleoplasm,Basal body,Supported,Tissue enhanced,Detected in many,,{'liver': '16.9'},Cell type enriched,{'Neutrophils': '916.0'},Not detected
Basal body,KIF11,Eg5; HKSP; KNSL1; TRIP5,ENSG00000138160,Kinesin family member 11,P52732,10,92574105-92655395,Disease related genes; Essential proteins; Human disease related genes; Plasma proteins; Predicted intracellular proteins,Cell cycle; Cell division; Mitosis,Motor protein,Disease variant,Evidence at protein level,Vesicles; Mitotic spindle; Basal body; Cytosol; Mid piece; Principal piece; End piece,Cytosol; Mid piece,Vesicles; Mitotic spindle; Basal body; Principal piece; End piece,Supported,Tissue enhanced,Detected in many,,"{'bone marrow': '18.2', 'lymphoid tissue': '35.3'}",Cell type enhanced,"{'Early primary spermatocytes': '69.6', 'Erythrocyte progenitors': '145.3', 'Megakaryocyte progenitors': '90.1', 'Monocyte progenitors': '256.8', 'Neutrophil progenitors': '117.7'}",Cell type enriched
Basal body; Centrosome,KIF20B,CT90; KRMP1; MPHOSPH1; MPP1,ENSG00000138182,Kinesin family member 20B,Q96Q89,10,89701590-89774939,Predicted intracellular proteins,Cell cycle; Cell division; Mitosis,Motor protein,Oncogene,Evidence at protein level,Nucleoplasm; Cytokinetic bridge; Midbody; Centrosome; Basal body; Cytosol; Perinuclear theca,Nucleoplasm; Cytokinetic bridge; Basal body,Midbody; Centrosome; Cytosol; Perinuclear theca,Supported,Tissue enhanced,Detected in many,,"{'bone marrow': '9.6', 'lymphoid tissue': '9.1'}",Cell type enhanced,"{'Differentiating spermatogonia': '136.5', 'Early primary spermatocytes': '186.7', 'Erythrocyte progenitors': '233.4', 'Megakaryocyte progenitors': '135.3', 'Monocyte progenitors': '233.5'}",Cell type enriched
Centriolar satellite,KIF5B,KNS; KNS1; uKHC,ENSG00000170759,Kinesin family member 5B,P33176,10,32009015-32056425,Cancer-related genes; Plasma proteins; Predicted intracellular proteins; Transporters,,Motor protein,Cancer-related genes,Evidence at protein level,Centriolar satellite; Cytosol; End piece,Centriolar satellite; Cytosol,End piece,Supported,Low tissue specificity,Detected in all,,,Low cell type specificity,,Low cell type specificity
Primary cilium; Primary cilium tip,MINDY3,C10orf97; CARP; DERP5; FAM188A; FLJ13397; my042,ENSG00000148481,MINDY lysine 48 deubiquitinase 3,Q9H8M7,10,15778170-15860507,Enzymes; Predicted intracellular proteins,Apoptosis; Ubl conjugation pathway,Hydrolase; Protease; Thiol protease,,Evidence at protein level,Nucleoplasm; Nuclear membrane; Microtubules; Primary cilium; Primary cilium tip; Cytosol,Nucleoplasm; Nuclear membrane,Microtubules; Primary cilium; Primary cilium tip; Cytosol,Supported,Low tissue specificity,Detected in all,,,Low cell type specificity,,Cell type enhanced
Basal body; Centriolar satellite; Primary cilium; Primary cilium tip,MYOF,FER1L3; KIAA1207,ENSG00000138119,Myoferlin,Q9NZM1,10,93306429-93482334,Disease related genes; Human disease related genes; Plasma proteins; Potential drug targets; Predicted intracellular proteins; Predicted membrane proteins; Transporters,,,,Evidence at protein level,Vesicles; Plasma membrane; Primary cilium; Primary cilium tip; Centriolar satellite; Basal body,Vesicles; Plasma membrane; Centriolar satellite,Primary cilium; Primary cilium tip; Basal body,Supported,Low tissue specificity,Detected in many,,,Cell type enhanced,"{'Endometrial glandular cells': '1114.0', 'Endometrial secretory cells': '712.1', 'Prostatic hillock cells': '676.7', 'Urothelial cells': '1157.3'}",Cell type enhanced
Centrosome,NUDT5,hYSAH1; YSA1H,ENSG00000165609,Nudix hydrolase 5,Q9UKK9,10,12165330-12196144,Enzymes; Metabolic proteins; Plasma proteins; Predicted intracellular proteins,,Hydrolase; RNA-binding; Transferase,,Evidence at protein level,Nucleoplasm; Vesicles; Centrosome; Mid piece,Nucleoplasm; Vesicles,Centrosome; Mid piece,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Hofbauer cells': '230.7', 'Neutrophils': '491.5'}",Cell type enhanced
Centrosome,PAOX,PAO,ENSG00000148832,Polyamine oxidase,Q6QHF9,10,133379261-133391694,Enzymes; Metabolic proteins; Predicted intracellular proteins,,Oxidoreductase,,Evidence at protein level,Nucleoplasm; Centrosome,Centrosome,Nucleoplasm,Uncertain,Tissue enhanced,Detected in many,,{'testis': '27.4'},Group enriched,"{'Distal convoluted tubule cells': '3.1', 'Late spermatids': '3.9', 'Loop of henle epithelial cells': '5.1', 'Papillary tip epithelial cells': '7.5', 'Podocytes': '3.6', 'Proximal tubule cells': '7.8', 'Renal collecting duct intercalated cells': '5.7', 'Renal collecting duct principal cells': '9.6', 'Renal connecting tubule cells': '4.4', 'Tuft cells': '11.5'}",Cell type enriched
Basal body; Primary cilium,PDZD7,bA108L7.8; DFNB57; FLJ23209; PDZK7,ENSG00000186862,PDZ domain containing 7,Q9H5P4,10,101007679-101032295,Disease related genes; Human disease related genes; Predicted intracellular proteins,,,Deafness; Disease variant; Non-syndromic deafness; Retinitis pigmentosa; Usher syndrome,Evidence at protein level,Nucleoplasm; Primary cilium; Basal body,Nucleoplasm; Primary cilium,Basal body,Approved,Group enriched,Detected in many,7,"{'brain': '21.2', 'intestine': '18.8', 'pituitary gland': '7.1'}",Cell type enhanced,"{'Brain excitatory neurons': '29.3', 'Brain inhibitory neurons': '28.0', 'Enterocytes': '88.4', 'Gonadotrophs': '33.2', 'Other brain neurons': '16.5', 'Podocytes': '16.8', 'Retinal amacrine cells': '26.9', 'Retinal ganglion cells': '38.6'}",Not detected
Centrosome,PLEKHS1,bA211N11.2; C10orf81; FLJ23537,ENSG00000148735,Pleckstrin homology domain containing S1,Q5SXH7,10,113751262-113783429,Predicted intracellular proteins,,,,Evidence at protein level,Vesicles; Centrosome,Centrosome,Vesicles,Approved,Group enriched,Detected in many,4,"{'breast': '23.2', 'cervix': '46.2', 'intestine': '34.6', 'pancreas': '25.6', 'salivary gland': '40.2'}",Cell type enhanced,"{'Conjunctival goblet cells': '99.0', 'Lacrimal acinar cells': '109.6', 'Respiratory basal cells': '143.0', 'Respiratory ciliated cells': '268.1', 'Respiratory deuterosomal cells': '360.7', 'Respiratory secretory cells': '405.4', 'Salivary acinar cells': '103.6', 'Salivary duct cells': '143.8', 'Salivary ionocytes': '145.8', 'Submucosal glandular cells': '139.3'}",Cell type enriched
Centriolar satellite,PRKCQ,,ENSG00000065675,Protein kinase C theta,Q04759,10,6427143-6580301,Cancer-related genes; Enzymes; FDA approved drug targets; Plasma proteins; Predicted intracellular proteins,Immunity; Inflammatory response,Kinase; Serine/threonine-protein kinase; Transferase,Cancer-related genes; FDA approved drug targets,Evidence at protein level,Centriolar satellite,Centriolar satellite,,Enhanced,Group enriched,Detected in many,6,"{'lymphoid tissue': '30.8', 'skeletal muscle': '115.2', 'tongue': '104.8'}",Cell type enhanced,"{'Choroid plexus epithelial cells': '212.3', 'Distal convoluted tubule cells': '118.8', 'Hematopoietic stem cells': '144.1', 'Loop of henle epithelial cells': '164.3', 'Megakaryocyte progenitors': '177.3', 'Megakaryocyte-Erythroid progenitors': '163.6', 'Myonuclei': '413.3', 'NK-cells': '275.2', 'Oligodendrocytes': '107.4', 'Retinal pigment epithelial cells': '217.4', 'T-cells': '317.4', 'Thymic myoid cells': '104.7', 'Thymocytes': '154.1'}",Cell type enhanced
Centriolar satellite,PTPN20,bA142I17.1; bA42B19.1; CT126; DKFZP566K0524; PTPN20A; PTPN20B,ENSG00000204179,Protein tyrosine phosphatase non-receptor type 20,Q4JDL3,10,46911396-47002488,Enzymes; Predicted intracellular proteins,,Hydrolase; Protein phosphatase,,Evidence at protein level,Centriolar satellite,Centriolar satellite,,Supported,Tissue enhanced,Detected in many,,"{'testis': '12.7', 'tongue': '13.8'}",Cell type enhanced,"{'Cardiomyocytes': '48.9', 'Distal convoluted tubule cells': '61.9', 'Early spermatids': '71.8', 'Gonadotrophs': '54.6', 'Proximal tubule cells': '83.3', 'Renal collecting duct intercalated cells': '48.0', 'Renal collecting duct principal cells': '37.6', 'Renal connecting tubule cells': '51.7'}",Cell type enriched
Centrosome,SFR1,bA373N18.1; C10orf78; FLJ41960; MEI5; MEIR5,ENSG00000156384,SWI5 dependent homologous recombination repair protein 1,Q86XK3,10,104122058-104126385,Predicted intracellular proteins,DNA damage; DNA repair; Transcription; Transcription regulation,,,Evidence at protein level,Nucleoplasm; Nucleoli rim; Centrosome,Nucleoli rim,Nucleoplasm; Centrosome,Supported,Low tissue specificity,Detected in all,,,Cell type enriched,{'Early primary spermatocytes': '252.3'},Cell type enriched
Primary cilium transition zone,SH3PXD2A,FISH; KIAA0418; SH3MD1,ENSG00000107957,SH3 and PX domains 2A,Q5TCZ1,10,103594027-103855584,Predicted intracellular proteins,,,,Evidence at protein level,Primary cilium transition zone; Cytosol,Primary cilium transition zone; Cytosol,,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Basal keratinocytes': '408.1', 'Esophageal apical cells': '751.7', 'Retinal horizontal cells': '354.6'}",Cell type enhanced
Basal body; Centrosome,SHTN1,KIAA1598; shootin-1; shootin1,ENSG00000187164,Shootin 1,A0MZ66,10,116881477-117126586,Predicted intracellular proteins,,Developmental protein,,Evidence at protein level,Nucleoplasm; Plasma membrane; Centrosome; Basal body; Cytosol,Plasma membrane; Cytosol,Nucleoplasm; Centrosome; Basal body,Approved,Tissue enriched,Detected in many,5,{'brain': '53.0'},Cell type enhanced,"{'Choroid plexus epithelial cells': '523.9', 'Corticotrophs': '439.8', 'Gonadotrophs': '591.2', 'Lactotrophs': '499.3', 'Microglia': '708.4', 'Oligodendrocytes': '1442.2', 'Somatotrophs': '476.9'}",Low cell type specificity
Centrosome,SLC18A2,SVAT; SVMT; VMAT2,ENSG00000165646,Solute carrier family 18 member A2,Q05940,10,117241093-117279430,Disease related genes; FDA approved drug targets; Metabolic proteins; Predicted membrane proteins; Transporters,Neurotransmitter transport; Transport,,Disease variant; Dystonia; FDA approved drug targets; Parkinsonism,Evidence at protein level,Vesicles; Centrosome,Vesicles; Centrosome,,Approved,Tissue enhanced,Detected in many,,"{'brain': '36.4', 'cervix': '28.1'}",Cell type enhanced,"{'Adrenal medulla cells': '138.3', 'Endometrial glandular cells': '307.0', 'Mast cells': '647.6', 'Neuroendocrine cells': '79.0', 'Other brain neurons': '67.3', 'Pancreatic islet cells': '59.1', 'Platelets': '87.5'}",Cell type enriched
Centrosome,SNCG,BCSG1; persyn; SR,ENSG00000173267,Synuclein gamma,O76070,10,86958599-86963258,Predicted intracellular proteins; Transporters,,,,Evidence at protein level,Golgi apparatus; Centrosome; Cytosol,Golgi apparatus; Centrosome; Cytosol,,Supported,Tissue enhanced,Detected in many,,"{'adrenal gland': '300.4', 'blood vessel': '339.7', 'brain': '638.1'}",Cell type enhanced,"{'Breast myoepithelial cells': '334.1', 'Breast secretory cells': '292.1', 'Epididymal basal cells': '396.3', 'Esophageal apical cells': '708.9', 'Lymphatic endothelial cells': '440.0', 'Prostatic club cells': '655.8', 'Prostatic hillock cells': '570.4', 'Urothelial cells': '2088.7', 'Vascular smooth muscle cells': '577.1'}",Group enriched
Centrosome,SORBS1,CAP; FLJ12406; KIAA1296; ponsin; SH3D5; sh3p12,ENSG00000095637,Sorbin and SH3 domain containing 1,Q9BX66,10,95311771-95561414,Predicted intracellular proteins,Transport,,,Evidence at protein level,Plasma membrane; Focal adhesion sites; Centrosome,Focal adhesion sites,Plasma membrane; Centrosome,Supported,Tissue enhanced,Detected in all,,{'blood vessel': '482.7'},Cell type enhanced,"{'Adipocytes': '1968.4', 'Astrocytes': '1464.9', 'Bergmann glia': '1572.2', 'Cardiomyocytes': '2244.5', 'Ependymal cells': '1443.6', 'Hepatic stellate cells': '884.3', 'Myonuclei': '1611.1', 'Salivary myoepithelial cells': '1156.8', 'Smooth muscle cells': '2332.4', 'Vascular smooth muscle cells': '865.4'}",Cell type enhanced
Primary cilium,SUFU,PRO1280; SUFUH; SUFUXL,ENSG00000107882,SUFU negative regulator of hedgehog signaling,Q9UMX1,10,102503972-102633535,Cancer-related genes; Disease related genes; Human disease related genes; Predicted intracellular proteins,,Developmental protein,Cancer-related genes; Ciliopathy; Disease variant; Joubert syndrome; Tumor suppressor,Evidence at protein level,Nucleoplasm; Primary cilium,Nucleoplasm,Primary cilium,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Early spermatids': '259.2', 'Late spermatids': '178.8'}",Group enriched
Basal body; Primary cilium; Primary cilium tip,TUBB8,bA631M21.2,ENSG00000261456,Tubulin beta 8 class VIII,Q3ZCM7,10,46888-74163,Disease related genes; Human disease related genes; Plasma proteins; Predicted intracellular proteins,,,Disease variant,Evidence at protein level,Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium; Primary cilium tip; Basal body; Flagellar centriole; Principal piece; End piece,Microtubules,Cytokinetic bridge; Mitotic spindle; Primary cilium; Primary cilium tip; Basal body; Flagellar centriole; Principal piece; End piece,Supported,Tissue enhanced,Detected in some,,"{'ovary': '2.3', 'testis': '1.7'}",Cell type enriched,{'Oocytes': '534.2'},Cell type enriched
Basal body; Centrosome,TUBGCP2,GCP2; SPBC97; Spc97p,ENSG00000130640,Tubulin gamma complex associated protein 2,Q9BSJ2,10,133278635-133318823,Disease related genes; Essential proteins; Human disease related genes; Plasma proteins; Predicted intracellular proteins,,,Disease variant; Epilepsy; Intellectual disability; Lissencephaly,Evidence at protein level,Nucleoplasm; Centrosome; Basal body,Centrosome; Basal body,Nucleoplasm,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Cardiomyocytes': '259.6'},Cell type enhanced
Centrosome,TYSND1,MGC34695; NET41,ENSG00000156521,Trypsin like peroxisomal matrix peptidase 1,Q2T9J0,10,70137981-70146700,Enzymes; Predicted intracellular proteins,,Hydrolase; Protease; Serine protease,,Evidence at protein level,Nucleoplasm; Centrosome; Cytosol,Nucleoplasm; Centrosome,Cytosol,Uncertain,Low tissue specificity,Detected in many,,,Group enriched,"{'Early spermatids': '101.1', 'Late primary spermatocytes': '325.2', 'Late spermatids': '304.9'}",Cell type enhanced
Primary cilium; Primary cilium tip,UPF2,DKFZP434D222; KIAA1408; RENT2; smg-3,ENSG00000151461,UPF2 regulator of nonsense mediated mRNA decay,Q9HAU5,10,11920022-12043170,Essential proteins; Plasma proteins; Predicted intracellular proteins,Nonsense-mediated mRNA decay,RNA-binding,,Evidence at protein level,Vesicles; Primary cilium; Primary cilium tip; Cytosol; Cytoplasmic bodies,Cytosol,Vesicles; Primary cilium; Primary cilium tip; Cytoplasmic bodies,Supported,Low tissue specificity,Detected in all,,,Low cell type specificity,,Low cell type specificity
Centrosome,WAC,BM-016; FLJ31290; MGC10753; PRO1741; Wwp4,ENSG00000095787,WW domain containing adaptor with coiled-coil,Q9BTA9,10,28532493-28623112,Disease related genes; Essential proteins; Human disease related genes; Predicted intracellular proteins; Predicted membrane proteins,Transcription; Transcription regulation,Chromatin regulator,,Evidence at protein level,Nucleoplasm; Centrosome,Nucleoplasm,Centrosome,Enhanced,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Neutrophils': '1114.8'},Cell type enhanced
Primary cilium,WDR11,BRWD2; DR11; FLJ10506; HH14; KIAA1351; SRI1; WDR15,ENSG00000120008,WD repeat domain 11,Q9BZH6,10,120851305-120909524,Disease related genes; Human disease related genes; Plasma proteins; Predicted intracellular proteins,,,Disease variant; Hypogonadotropic hypogonadism; Intellectual disability; Kallmann syndrome; Proto-oncogene,Evidence at protein level,Vesicles; Plasma membrane; Microtubules; Primary cilium; Cytosol; Flagellar centriole; Principal piece; End piece,Microtubules; Primary cilium; End piece,Vesicles; Plasma membrane; Cytosol; Flagellar centriole; Principal piece,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Bergmann glia': '211.6', 'Gastric progenitor cells': '488.3'}",Low cell type specificity
Centriolar satellite; Centrosome,ZNF365,KIAA0844; Su48; UAN,ENSG00000138311,Zinc finger protein 365,Q70YC5,10,62374192-62480288,Predicted intracellular proteins,Neurogenesis,,,Evidence at protein level,Vesicles; Centriolar satellite; Centrosome,Centriolar satellite; Centrosome,Vesicles,Approved,Group enriched,Detected in many,4,"{'brain': '33.5', 'esophagus': '9.6'}",Cell type enhanced,"{'Distal convoluted tubule cells': '3.0', 'Papillary tip epithelial cells': '19.9', 'Podocytes': '5.7', 'Proximal tubule cells': '34.3', 'Renal collecting duct principal cells': '3.5', 'Renal connecting tubule cells': '13.2'}",Group enriched
Primary cilium; Primary cilium transition zone,ACTN3,,ENSG00000248746,Actinin alpha 3,Q08043,11,66546395-66563334,Plasma proteins; Predicted intracellular proteins,,Actin-binding,,Evidence at protein level,Actin filaments; Focal adhesion sites; Primary cilium; Primary cilium transition zone; Cytosol,Actin filaments; Focal adhesion sites,Primary cilium; Primary cilium transition zone; Cytosol,Approved,Tissue enriched,Detected in some,72,{'skeletal muscle': '1567.3'},Group enriched,"{'Late spermatids': '29.7', 'Myonuclei': '46.3'}",Group enriched
Basal body,AGBL2,CCP2; FLJ23598,ENSG00000165923,AGBL carboxypeptidase 2,Q5U5Z8,11,47659591-47715389,Enzymes; Predicted intracellular proteins,,Carboxypeptidase; Hydrolase; Metalloprotease; Protease,,Evidence at protein level,Nucleoli; Basal body; Cytosol; Flagellar centriole; Mid piece; Principal piece; End piece,Nucleoli; Basal body; Cytosol; Flagellar centriole,Mid piece; Principal piece; End piece,Supported,Tissue enhanced,Detected in many,,"{'fallopian tube': '5.1', 'testis': '11.4'}",Cell type enriched,{'Ependymal cells': '116.6'},Cell type enriched
Primary cilium,ALKBH8,MGC10235; TRM9; TRMT9A,ENSG00000137760,"AlkB homolog 8, tRNA methyltransferase",Q96BT7,11,107502727-107565742,Disease related genes; Enzymes; Human disease related genes; Potential drug targets; Predicted intracellular proteins,,Methyltransferase; Multifunctional enzyme; RNA-binding; Transferase,Disease variant; Intellectual disability,Evidence at protein level,Nucleoplasm; Microtubules; Mitotic spindle; Primary cilium,Nucleoplasm,Microtubules; Mitotic spindle; Primary cilium,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Brain inhibitory neurons': '40.2', 'Sertoli cells': '56.8'}",Group enriched
Basal body; Primary cilium,ANO3,C11orf25; DYT23; GENX-3947; TMEM16C,ENSG00000134343,Anoctamin 3,Q9BYT9,11,26188842-26663289,Disease related genes; Human disease related genes; Potential drug targets; Predicted intracellular proteins; Predicted membrane proteins; Transporters,Lipid transport; Transport,,Disease variant; Dystonia,Evidence at protein level,Microtubules; Mitotic spindle; Primary cilium; Basal body; Cytosol,Microtubules; Primary cilium; Cytosol,Mitotic spindle; Basal body,Supported,Group enriched,Detected in some,20,"{'brain': '58.4', 'epididymis': '54.2'}",Cell type enhanced,"{'Adipocytes': '199.1', 'Brain excitatory neurons': '165.4', 'Brain inhibitory neurons': '405.4', 'Cone photoreceptor cells': '70.4', 'Epididymal principal cells': '202.3', 'Gonadotrophs': '61.3', 'Hepatic stellate cells': '284.0', 'Oligodendrocyte progenitor cells': '65.3', 'Pericytes': '96.4'}",Group enriched
Primary cilium,ARHGAP1,CDC42GAP; p50rhoGAP; RhoGAP,ENSG00000175220,Rho GTPase activating protein 1,Q07960,11,46677080-46700619,Plasma proteins; Predicted intracellular proteins; Predicted membrane proteins,,GTPase activation,,Evidence at protein level,Vesicles; Primary cilium; Cytosol,Cytosol,Vesicles; Primary cilium,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Oligodendrocytes': '147.2'},Low cell type specificity
Basal body,ARL2,ARFL2,ENSG00000213465,ADP ribosylation factor like GTPase 2,P36404,11,65014160-65022184,Disease related genes; Essential proteins; Predicted intracellular proteins,Cell cycle,,Cataract; Disease variant,Evidence at protein level,Nucleoplasm; Nucleoli; Mitochondria; Basal body; Equatorial segment; Flagellar centriole; Mid piece,Nucleoplasm; Basal body; Flagellar centriole,Nucleoli; Mitochondria; Equatorial segment; Mid piece,Approved,Low tissue specificity,Detected in all,,,Group enriched,"{'Early spermatids': '77.4', 'Late spermatids': '290.5'}",Low cell type specificity
Centrosome,BRMS1,DKFZP564A063,ENSG00000174744,BRMS1 transcriptional repressor and anoikis regulator,Q9HCU9,11,66337333-66345125,Cancer-related genes; Predicted intracellular proteins,Apoptosis; Transcription; Transcription regulation,Repressor,Cancer-related genes; Tumor suppressor,Evidence at protein level,Centrosome,Centrosome,,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Esophageal basal cells': '129.2', 'Oocytes': '124.3'}",Cell type enriched
Centrosome,C11orf80,FLJ22531; TOPOVIBL,ENSG00000173715,Chromosome 11 open reading frame 80,Q8N6T0,11,66744451-66843516,Disease related genes; Human disease related genes; Predicted intracellular proteins,Meiosis,,Disease variant,Evidence at protein level,Centrosome,Centrosome,,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Cone photoreceptor cells': '260.8', 'Renal collecting duct intercalated cells': '434.7', 'Renal collecting duct principal cells': '583.8', 'Renal connecting tubule cells': '463.6'}",Group enriched
Basal body; Centrosome,C2CD3,DKFZP586P0123,ENSG00000168014,C2 domain containing 3 centriole elongation regulator,Q4AC94,11,74012718-74171210,Disease related genes; Human disease related genes; Predicted intracellular proteins,Cilium biogenesis/degradation,,Ciliopathy; Disease variant; Intellectual disability,Evidence at protein level,Nucleoplasm; Centrosome; Basal body; Acrosome; Equatorial segment; Principal piece,Nucleoplasm; Centrosome; Basal body,Acrosome; Equatorial segment; Principal piece,Supported,Low tissue specificity,Detected in all,,,Low cell type specificity,,Group enriched
Centriolar satellite; Centrosome,CAPRIN1,caprin-1; GPIAP1; M11S1; RNG105,ENSG00000135387,Cell cycle associated protein 1,Q14444,11,34051731-34102610,Predicted intracellular proteins,Differentiation,Protein synthesis inhibitor; RNA-binding,Autism; Autism spectrum disorder; Disease variant; Intellectual disability; Neurodegeneration,Evidence at protein level,Centriolar satellite; Centrosome; Cytosol,Cytosol,Centriolar satellite; Centrosome,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Early spermatids': '504.5', 'Late primary spermatocytes': '511.0'}",Low cell type specificity
Primary cilium tip,CATSPERZ,C11orf20; DKFZP566E164; TEX40,ENSG00000219435,Catsper channel auxiliary subunit zeta,Q9NTU4,11,64300358-64304770,Predicted intracellular proteins; Transporters,Differentiation; Spermatogenesis,,,Evidence at protein level,Primary cilium tip; Cytosol; Mid piece; Principal piece,Primary cilium tip; Mid piece,Cytosol; Principal piece,Approved,Tissue enriched,Detected in some,152,{'testis': '544.5'},Cell type enhanced,"{'Early spermatids': '15.6', 'Late primary spermatocytes': '22.1', 'Late spermatids': '73.4'}",Not detected
Basal body,CCDC81,FLJ16339; FLJ23514,ENSG00000149201,Coiled-coil domain containing 81,Q6ZN84,11,86374736-86423109,Predicted intracellular proteins,,,,Evidence at protein level,Plasma membrane; Basal body,Plasma membrane; Basal body,,Approved,Tissue enhanced,Detected in some,,"{'choroid plexus': '15.8', 'fallopian tube': '25.8'}",Cell type enhanced,"{'Choroid plexus epithelial cells': '51.6', 'Endometrial ciliated cells': '115.8', 'Ependymal cells': '198.4', 'Epididymal efferent duct ciliated cells': '42.4', 'Extravillous trophoblasts': '40.8', 'Fallopian tube ciliated cells': '139.0', 'Late primary spermatocytes': '55.3', 'Migrating cytotrophoblasts': '46.2', 'Pituitary stem cells': '113.0', 'Respiratory ciliated cells': '123.7'}",Cell type enriched
Centrosome,CCDC88B,BRLZ; CCDC88; FLJ00354; FLJ37970; GIPIE; HkRP3,ENSG00000168071,Coiled-coil domain containing 88B,A6NC98,11,64340204-64357534,Predicted intracellular proteins,Stress response,,,Evidence at protein level,Nucleoplasm; Centrosome; Cytosol,Centrosome; Cytosol,Nucleoplasm,Supported,Tissue enhanced,Detected in many,,"{'brain': '85.3', 'lymphoid tissue': '84.4'}",Cell type enhanced,"{'Foveolar cells': '79.0', 'Neutrophil progenitors': '172.9', 'Neutrophils': '177.0', 'Tuft cells': '103.8'}",Cell type enriched
Centrosome; Primary cilium transition zone,CEP164,KIAA1052; NPHP15,ENSG00000110274,Centrosomal protein 164,Q9UPV0,11,117314557-117413266,Disease related genes; Human disease related genes; Predicted intracellular proteins,Cell cycle; Cell division; Cilium biogenesis/degradation; DNA damage; DNA repair; Mitosis,,Ciliopathy; Disease variant; Nephronophthisis,Evidence at protein level,Nucleoplasm; Vesicles; Primary cilium transition zone; Centrosome; Equatorial segment; Principal piece,Primary cilium transition zone; Centrosome; Principal piece,Nucleoplasm; Vesicles; Equatorial segment,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Cone photoreceptor cells': '623.1', 'Early spermatids': '342.9', 'Late spermatids': '441.4', 'Rod photoreceptor cells': '372.5'}",Group enriched
Centriolar satellite; Centrosome,CEP57,KIAA0092; Translokin; TSP57,ENSG00000166037,Centrosomal protein 57,Q86XR8,11,95789965-95832693,Disease related genes; Human disease related genes; Plasma proteins; Predicted intracellular proteins,,,,Evidence at protein level,Centriolar satellite; Centrosome; Cytosol,Centrosome,Centriolar satellite; Cytosol,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Early spermatids': '556.4', 'Late spermatids': '552.8'}",Group enriched
Centrosome; Primary cilium,CFAP300,C11orf70; DNAAF17; FBB5; MGC13040,ENSG00000137691,Cilia and flagella associated protein 300,Q9BRQ4,11,102047437-102084554,Disease related genes; Human disease related genes; Predicted intracellular proteins,,,Ciliopathy; Disease variant; Kartagener syndrome; Primary ciliary dyskinesia,Evidence at protein level,Primary cilium; Centrosome,Primary cilium; Centrosome,,Approved,Tissue enhanced,Detected in many,,"{'choroid plexus': '23.0', 'fallopian tube': '27.4', 'testis': '28.2'}",Group enriched,"{'Early primary spermatocytes': '171.6', 'Early spermatids': '317.0', 'Endometrial ciliated cells': '157.0', 'Ependymal cells': '145.6', 'Epididymal efferent duct ciliated cells': '147.3', 'Fallopian tube ciliated cells': '228.0', 'Late primary spermatocytes': '553.9', 'Respiratory ciliated cells': '339.7'}",Cell type enriched
